Timestamp,Container,CPU,MemUsage,MemPerc
1769446609,go-bench,31.87%,107.2MB / 12.21GB,0.88%
1769446609,java-bench,3.70%,214.4MB / 12.21GB,1.76%
1769446609,python-bench,2.01%,164.2MB / 12.21GB,1.35%
1769446611,go-bench,33.18%,111.4MB / 12.21GB,0.91%
1769446611,java-bench,4.95%,239.9MB / 12.21GB,1.97%
1769446611,python-bench,2.06%,164.2MB / 12.21GB,1.35%
1769446612,go-bench,34.06%,111.5MB / 12.21GB,0.91%
1769446612,java-bench,6.32%,263.7MB / 12.21GB,2.16%
1769446612,python-bench,2.06%,164.2MB / 12.21GB,1.35%
1769446614,go-bench,35.04%,117.6MB / 12.21GB,0.96%
1769446614,java-bench,7.50%,297.5MB / 12.21GB,2.44%
1769446614,python-bench,2.06%,164.2MB / 12.21GB,1.35%
1769446616,go-bench,36.14%,117.7MB / 12.21GB,0.96%
1769446616,java-bench,8.68%,331.4MB / 12.21GB,2.71%
1769446616,python-bench,2.06%,164.2MB / 12.21GB,1.35%
1769446618,go-bench,37.37%,118.8MB / 12.21GB,0.97%
1769446618,java-bench,9.08%,330.9MB / 12.21GB,2.71%
1769446618,python-bench,2.06%,164.2MB / 12.21GB,1.35%
1769446620,go-bench,38.49%,123.6MB / 12.21GB,1.01%
1769446620,java-bench,9.61%,342.9MB / 12.21GB,2.81%
1769446620,python-bench,2.05%,164.2MB / 12.21GB,1.35%
1769446621,go-bench,39.56%,127.1MB / 12.21GB,1.04%
1769446621,java-bench,11.15%,431.2MB / 12.21GB,3.53%
1769446621,python-bench,2.05%,164.2MB / 12.21GB,1.35%
1769446623,go-bench,40.30%,127.9MB / 12.21GB,1.05%
1769446623,java-bench,12.39%,449MB / 12.21GB,3.68%
1769446623,python-bench,2.05%,164.2MB / 12.21GB,1.35%
1769446625,go-bench,41.62%,129.6MB / 12.21GB,1.06%
1769446625,java-bench,14.04%,528.3MB / 12.21GB,4.33%
1769446625,python-bench,2.04%,164.2MB / 12.21GB,1.35%
1769446626,go-bench,42.36%,131.7MB / 12.21GB,1.08%
1769446626,java-bench,16.17%,643.9MB / 12.21GB,5.27%
1769446626,python-bench,2.05%,164.2MB / 12.21GB,1.35%
1769446628,go-bench,43.57%,132.6MB / 12.21GB,1.09%
1769446628,java-bench,17.81%,716.5MB / 12.21GB,5.87%
1769446628,python-bench,2.04%,164.2MB / 12.21GB,1.35%
1769446630,go-bench,44.52%,134.2MB / 12.21GB,1.10%
1769446630,java-bench,19.24%,782.3MB / 12.21GB,6.41%
1769446630,python-bench,2.05%,164.2MB / 12.21GB,1.35%
1769446632,go-bench,45.11%,138.5MB / 12.21GB,1.13%
1769446632,java-bench,19.98%,821.9MB / 12.21GB,6.73%
1769446632,python-bench,2.04%,164.2MB / 12.21GB,1.35%
1769446634,go-bench,45.48%,138.5MB / 12.21GB,1.13%
1769446634,java-bench,21.25%,1.012GB / 12.21GB,8.29%
1769446634,python-bench,2.04%,164.2MB / 12.21GB,1.35%
1769446635,go-bench,45.38%,138.5MB / 12.21GB,1.13%
1769446635,java-bench,22.81%,1.215GB / 12.21GB,9.95%
1769446635,python-bench,2.04%,164.2MB / 12.21GB,1.35%
1769446636,go-bench,45.17%,138.5MB / 12.21GB,1.13%
1769446636,java-bench,24.43%,1.359GB / 12.21GB,11.14%
1769446636,python-bench,2.04%,164.2MB / 12.21GB,1.35%
1769446638,go-bench,44.92%,138.5MB / 12.21GB,1.13%
1769446638,java-bench,26.33%,1.462GB / 12.21GB,11.97%
1769446638,python-bench,2.04%,164.2MB / 12.21GB,1.35%
1769446639,go-bench,44.69%,138.5MB / 12.21GB,1.13%
1769446639,java-bench,28.07%,1.513GB / 12.21GB,12.40%
1769446639,python-bench,2.03%,164.2MB / 12.21GB,1.35%
1769446641,go-bench,44.46%,138.5MB / 12.21GB,1.13%
1769446641,java-bench,29.69%,1.518GB / 12.21GB,12.43%
1769446641,python-bench,2.03%,164.2MB / 12.21GB,1.35%
1769446642,go-bench,44.23%,138.5MB / 12.21GB,1.13%
1769446642,java-bench,31.27%,1.519GB / 12.21GB,12.44%
